0,"Prawidłowa higiena rąk jest rozwiązaniem, które może mieć duży wpływ na zatrzymanie epidemii koronawirusa",,true
1,"Środki antybakteryjne, jak sama nazwa mówi nie zabijają wirusów",,true
2,Zwierzeta nie przenoszą wirusa covid,,true
3,"przyjmowanie leków przeciwzapalnych ibuprofen, kortyzon może być czynnikiem pogarszającym przebieg infekcji",,true
4,"Koronawirusy to grupa wirusów, które wywołują najczęściej infekcje układu oddechowego",,true
5,Jego oficjalna nazwa brzmi SARS-CoV-2 i wywołuje chorobę COVID-19,,true
6,COVID-19 rozprzestrzenia się drogą kropelkową,,true
7,"Do głównych trzech objawów, które towarzyszą zarażeniu, należą: kaszel, duszności (płytki oddech) oraz gorączka",,true
8,"Rzadziej pojawiają się: ból mięśni, ból głowy, ból gardła, uczucie rozbicia",,true
9,Pierwsze symptomy choroby pojawiają się od 2 do 10 dni po zarażeniu zdarzają się jednak przypadki namnażania się patogenu do 24 dni,,true
10,COVID-19 może mieć przebieg: łagodny lub bezobjawowy bądź ostry - zagrażający zdrowiu oraz życiu,,true
11,Głównym nakazem prewencyjnym jest dokładne i długie mycie rąk,,true
12,"Jeśli nie mamy możliwości skorzystania z umywalki, warto zaopatrzyć się w żel dezynfekcyjny do mycia rąk, by uniknąć kontaktu z zarazkami",,true
13,"Warto również pamiętać o tym, by nie przykładać dłoni do twarzy, zwłaszcza ust oraz oczu",,true
14,"Jest to trudne zadanie, gdyż każdy mimowolnie może dotykać twarzy nawet 25 razy w ciągu godziny",,true
15,"Kolejny ważny aspekt to poruszanie się komunikacją miejską, w której należy zachować szczególną ostrożność",,true
16,To obostrzenie dotyczy również skupisk ludzi np. w galerii handlowej,,true
17,W okresie wysokiego zagrożenia COVID-19 nie należy witać się uściskiem dłoni bądź pocałunkiem,,true
18,Nie należy też dzielić się jedzeniem np. sięgać do tej samej paczki chipsów,,true
19,Warto również zadbać o higienę w domu. Każdy z domowników powinien mieć własny ręcznik oraz szczoteczkę do zębów,,true
20,"Pamiętajmy także o dokładnym czyszczeniu przestrzeni, z której często korzystamy  biurka w pracy, klamek, blatu kuchennego, stołu w jadalni",,true
21,"Znane naukowcom koronawirusy atakują drogi oddechowe, powodując infekcje: od zwyczajnego przeziębienia aż po ostre zespoły, jak Middle East Respiratory Syndrome (MERS) czy ciężką niewydolność oddechową (SARS)",,true
22,"Do najczęstszych objawów COVID-19 należą: gorączka, zmęczenie oraz suchy kaszel niektórzy pacjenci mogą odczuwać inne dolegliwości: zatkany nos, katar, ból gardła czy biegunkę",,true
23,Objawy są na ogół łagodne i nasilają się stopniowo niektóre zarażone osoby nie zauważają żadnych objawów i czują się dobrze,,true
24,Większość zarażonych około 80 proc. dochodzi do siebie bez konieczności specjalnego leczenia,,true
25,"Jedna na sześć osób, które zarażą się COVID-19, przechodzi przez poważny przebieg choroby i ma trudności z oddychaniem",,true
26,"Wsród grup narażonych na poważne symptomy choroby są osoby starsze, ale też te z nadciśnieniem tętniczym, problemami kardiologicznymi czy cukrzycą",,true
27,Około 2 proc. zarażonych COVID-19 zmarło,,true
28,"Osoby z gorączką, kaszlem i problemami z oddychaniem powinny udać się do lekarza",,true
29,"Ludzie mogą zarazić się COVID-19 od innych nosicieli poprzez kropelki z nosa lub ust, które rozpryskują się, gdy osoba zarażona kaszle, kicha lub wydycha powietrze",,true
30,"Ważne jest to, by od osoby zarażonej przebywać w odległości większej niż metr",,true
31,Wirus osiada na przedmiotach i powierzchniach,,true
32,"Do zarażenia dochodzi, kiedy ludzie, którzy mieli kontakt z zakażonymi powierzchni, dotkną dłonią oka, nosa lub ust",,true
33,"Badania sugerują, że koronawirus powodujący COVID-19 jest przenoszony głownie przez kontakt z kropelkami, nie zaś przez powietrze",,true
34,"Główną drogą rozprzestrzeniania się koronawirusa są kropelki wydalone przez osobę chorą, najczęściej poprzez kaszel",,true
35,"Ryzyko zarażenia się COVID-19 od kogoś, kto nie objawia żadnych symptomów jest bardzo niskie"
36,"Jest jednak możliwe, by zarazić się COVID-19 od kogoś, kto ma łagodne objawy lub w ogóle nie czuje się źle",,true
37,Ryzyko zarażenia się COVID-19 poprzez kontakt z kałem wydaje się niskie,,true
38,"Chociaż wstępne badania sugerują, że wirus może być obecny w kale, to rozprzestrzenienie się tą drogą nie jest głównym przyczyną epidemii",,true
39,"Biorąc pod uwagę ryzyko, to kolejny powód, by regularnie myć ręce, szczególnie po skorzystaniu z łazienki i przed jedzeniem",,true
40,Śledź aktualne informacje na temat COVID-19 dostępne na stronie WHO oraz przekazywane przez krajowe i lokalne instytucje zdrowia publicznego,,true
41,"Mycie rąk mydłem i wodą lub preparatami alkoholowymi zabija wirusy, które potencjalnie mogą znajdować się na twoich rękach",,true
42,"Zachowaj odległość co najmniej 1 metra od każdego, kto kaszle lub kicha. Dlaczego? COVID-19 można złapać od innych zarażonych osób, które kaszlą lub wydychają kropelki",,true
43,"COVID-19 można złapać od innych zarażonych osób, które kaszlą lub wydychają kropelki",,true
44,"Zostań w domu, jeśli źle się czujesz. Jeśli masz gorączkę, kaszel i trudności w oddychaniu, udaj się do lekarza wcześniej umawiając wizytę telefonicznie",,true
